source,target,value
58,176,0.6322
3,54,0.6321
91,130,0.6321
91,177,0.632
181,189,0.6317999999999999
15,90,0.6317999999999999
133,184,0.6316999999999999
7,238,0.6315999999999999
42,88,0.6315999999999999
100,153,0.6315
149,202,0.6314
8,54,0.6314
71,221,0.6312
47,130,0.6312
25,177,0.6308
13,177,0.6308
82,208,0.6307
3,171,0.6306
7,68,0.6305000000000001
181,183,0.6304000000000001
12,153,0.6304000000000001
51,68,0.6304000000000001
31,159,0.6303000000000001
181,186,0.6302
40,129,0.63
30,216,0.6295999999999999
41,151,0.6294
26,151,0.6293
5,125,0.6293
21,139,0.6292
73,177,0.6291
10,158,0.6288
80,94,0.6287
109,151,0.6285000000000001
58,88,0.6284000000000001
72,156,0.6282
25,151,0.6279
118,156,0.6278
6,90,0.6275999999999999
50,163,0.6275999999999999
35,218,0.6274
72,118,0.6274
125,133,0.6273
33,69,0.6272
219,260,0.6271
22,179,0.627
26,145,0.6268
121,233,0.6268
91,176,0.6266
143,216,0.6265000000000001
53,171,0.6265000000000001
111,229,0.6265000000000001
85,160,0.6263000000000001
50,170,0.6262
25,106,0.6262
31,151,0.6262
38,159,0.6261
67,83,0.6259
30,130,0.6259
60,168,0.6258
25,82,0.6258
113,214,0.6258
25,225,0.6258
13,88,0.6256999999999999
58,83,0.6256999999999999
95,97,0.6255999999999999
12,36,0.6255
145,177,0.6255
51,194,0.6254
48,105,0.6254
16,169,0.6253
11,158,0.6252
128,218,0.6252
4,192,0.6251
151,177,0.625
133,176,0.625
30,38,0.6249
13,73,0.6249
130,184,0.6249
50,171,0.6249
153,188,0.6246
62,114,0.6246
5,72,0.6243000000000001
26,88,0.6243000000000001
79,125,0.6242
143,180,0.6241
25,185,0.6239
151,159,0.6239
202,246,0.6239
31,189,0.6239
105,121,0.6236999999999999
202,243,0.6235999999999999
44,91,0.6235999999999999
23,160,0.6235999999999999
67,180,0.6234999999999999
22,116,0.6234
75,197,0.6234
26,106,0.6233
26,31,0.6232
150,166,0.6232
55,81,0.6232
41,125,0.6231
210,230,0.6229
86,206,0.6226
38,133,0.6223000000000001
25,191,0.6222
42,72,0.6221
25,133,0.6221
14,90,0.6221
81,84,0.622
92,165,0.622
106,214,0.6219
42,67,0.6216999999999999
113,242,0.6214999999999999
139,160,0.6214
111,132,0.6214
135,187,0.6213
107,117,0.6213
122,230,0.6212
21,150,0.6212
17,209,0.6212
47,83,0.6211
65,180,0.621
217,249,0.6209
74,238,0.6209
152,156,0.6207
15,130,0.6206
8,238,0.6205
118,155,0.6203000000000001
189,214,0.6201
137,181,0.6199
24,145,0.6199
58,130,0.6199
114,224,0.6194999999999999
180,185,0.6194999999999999
3,74,0.6194999999999999
41,82,0.6194999999999999
120,160,0.6192
93,127,0.6192
138,143,0.6191
5,47,0.619
3,8,0.6188
15,176,0.6185
46,76,0.6183000000000001
85,120,0.6182000000000001
106,133,0.6181
149,237,0.6181
24,133,0.618
81,132,0.618
25,44,0.6174999999999999
63,87,0.6174999999999999
58,145,0.6173
38,106,0.6173
4,171,0.6172
10,36,0.6171
174,233,0.617
201,239,0.6169
25,176,0.6168
42,118,0.6164000000000001
23,119,0.6164000000000001
45,199,0.6164000000000001
53,264,0.6163000000000001
181,191,0.6162000000000001
63,86,0.616
129,214,0.616
198,204,0.6158
4,53,0.6157
82,133,0.6157
70,149,0.6155999999999999
5,90,0.6154999999999999
34,141,0.6154
4,78,0.6154
13,82,0.6154
41,106,0.6153
81,110,0.6153
142,216,0.615
